"","yi","vi","ID","Paper.Number","Experiment.Number","Effect.Size.Number","Paper.and.Exp","Paper","Publication.Year","DOI","Article.Title","Journal","Design","Total.N","N_Intervention","N_Control","Begin.Selection.Factors","sample","Measure","task","sound","End.Selection.Factors","Begin.Selection.Numerics","IF","db","End.Selection.Numerics","sound_type","mean_C","var_C","mean_E","var_E","var_type","d","d_var","g","g_var","CI95_L","CI95_R"
"33",-0.469203023525706,0.033014648362991,16,16,1,1,"Fendrick (1937)","Fendrick (1937)",1937,"not recorded","not recorded","The Journal of Educational Research","between",123,62,61,"","adults","num_correct","reading comprehension","music","","",1.218,NA,"","semi-classical",33.69,1.11,29.58,1.11,"SE",-0.472135542422741,0.03342862110223,-0.469203023525706,0.033014648362991,-0.825333720252716,-0.113072326798695
"110",-0.594508595228772,0.121114940006676,17,17,1,1,"Henderson et al. (1945)","Henderson et al. (1945)",1945,"not recorded","not recorded","Journal of Applied Psychology","between",50,31,19,"","adults","num_correct","reading comprehension","music","","",3.81,NA,"","classical+pop",49.2,NA,34.5,NA,NA,-0.609237908122681,0.126997985231552,-0.594508595228772,0.121114940006676,-1.27661940259782,0.0876022121402704
"111",-0.38635008814177,0.143749831934595,18,18,1,1,"Miller (2014)","Miller (2014)",2014,"not recorded","not recorded","NA","between",72,59,13,"","adults","num_correct","reading comprehension","music","","",NA,NA,"","classical+rock",15.077,2.139,14.18525,1.9895,"SD",-0.398739930798481,0.152826785653865,-0.38635008814177,0.143749831934595,-1.12947144724803,0.356771270964493
"112",-0.0376028060269939,0.118801743199242,19,19,1,1,"Furnham & Allass (1999)","Furnham & Allass (1999)",1999,"not recorded","not recorded","European Journal of Personality","between",48,32,16,"","adults","num_correct","reading comprehension","music","","",3.989,NA,"","complex+simple",8,2.855,7.9075,1.83,"SD",-0.038575292389761,0.125026121094268,-0.0376028060269939,0.118801743199242,-0.713168329624971,0.637962717570983
"42",-0.96614955608187,0.206791787676748,20,20,1,1,"Furnham & Bradley (1997)","Furnham & Bradley (1997)",1997,"not recorded","not recorded","Applied Cognitive Psychology","between",20,10,10,"","adults","num_correct","reading comprehension","music","","",1.481,NA,"","pop",9.3,1.835,7.7,1.29,"SD",-1.00877380120313,0.225440614549845,-0.96614955608187,0.206791787676748,-1.85744711107627,-0.0748520010874715
"113",-0.0953770815217784,0.0434099492278539,21,21,1,1,"Furnham at al. (1999)","Furnham at al. (1999)",1999,"not recorded","not recorded","Personality and Individual Differences","between",139,96,43,"","children","num_correct","reading comprehension","music","","",1.946,NA,"","vocal+instrumental",7.78,1.9,7.595,2.005,"SD",-0.0961873052292058,0.0441532175655886,-0.0953770815217784,0.0434099492278539,-0.503744147962895,0.312989984919338
"114",-0.490688374835328,0.0211781945439289,22,22,1,1,"Perham & Currie (2014)","Perham & Currie (2014)",2014,"not recorded","not recorded","Applied Cognitive Psychology","within",30,30,30,"","adults","prop_correct","reading comprehension","music","","",1.481,70,"","lyrical+ non-lyrical",0.607869289468922,0.04559421300485,0.427882647694455,0.0465715113772943,"SE",-0.703033568029666,0.022327935494536,-0.490688374835328,0.0211781945439289,-0.775921879459096,-0.20545487021156
"48",-0.744547240731161,0.160951236124983,23,23,1,1,"Kelly (1994)","Kelly (1994)",1994,"not recorded","not recorded","Southeastern Journal of Music Education","between",25,12,13,"","adults","num_correct","reading comprehension","music","","",NA,65,"","pop",54.92,8.47,48.17,9.08,"SD",-0.769929533028814,0.17211223997301,-0.744547240731161,0.160951236124983,-1.5308743156165,0.0417798341541795
"115",0.455801936056689,0.0724253930674252,24,24,1,1,"Dove (2009)","Dove (2009)",2009,"not recorded","not recorded","NA","between",84,56,28,"","adults","num_correct","reading comprehension","music","","",NA,62.5,"","sedative+stimulative",163.214285714286,13.601081500727,168.946428571429,12.4097307786457,"SD",0.462251963453717,0.0744896714698676,0.455801936056689,0.0724253930674252,-0.0716726036206503,0.983276475734027
"53",-0.446640713680195,0.0286535610873166,25,25,1,1,"Furnham et al. (1994)","Furnham et al. (1994)",1994,"not recorded","not recorded","Applied Cognitive Psychology","within",20,20,20,"","adults","num_correct","reading comprehension","speech","","",1.481,NA,"","TV drama",8.65,2.115,7.2,2.32,"SD",-0.649198564765167,0.0310911036103696,-0.446640713680195,0.0286535610873166,-0.77841702427671,-0.11486440308368
